Nc,Angle of shearing resistance
0.6,0.19
0.63,1.27
0.65,2.15
0.67,3.06
0.7,4.05
0.72,5
0.75,5.86
0.79,6.61
0.82,7.59
0.86,8.6
0.91,9.66
0.95,10.39
0.99,11.16
1.04,12.01
1.09,12.82
1.14,13.6
1.19,14.4
1.25,15.26
1.32,16.14
1.39,16.98
1.47,17.87
1.55,18.71
1.63,19.57
1.73,20.46
1.84,21.33
1.95,22.19
2.07,22.97
2.19,23.77
2.33,24.57
2.48,25.31
2.64,26.12
2.83,26.96
3.04,27.7
3.24,28.48
3.47,29.28
3.71,30.11
4.01,30.84
4.31,31.73
4.64,32.51
5.01,33.26
5.39,34.06
5.79,34.85
6.25,35.61
6.75,36.39
7.29,37.07
7.86,37.9
8.49,38.62
9.16,39.35
9.72,39.78
